Dataset,Epsilon,Augmentation,Metric,SampleAgg,BatchAgg,val
MNIST,2,Translate,Robust,Mean,Min,0.0625
MNIST,2,Translate,Robust,Max,Mean,1.0
MNIST,2,Translate,Robust,Max,Mean,1.0
MNIST,2,Translate,Robust,Max,Mean,1.0
MNIST,2,Translate,Robust,Min,Mean,0.3
MNIST,2,Translate,Robust,Min,Mean,1.0
MNIST,2,Translate,Robust,Min,Mean,0.0
MNIST,2,Translate,De-adversarial,Mean,Mean,0.1768
MNIST,2,Translate,De-adversarial,Mean,Max,0.9375
MNIST,2,Translate,De-adversarial,Mean,Min,0.0
MNIST,2,Translate,De-adversarial,Max,Mean,0.34
MNIST,2,Translate,De-adversarial,Max,Mean,1.0
MNIST,2,Translate,De-adversarial,Max,Mean,0.0
MNIST,2,Translate,De-adversarial,Min,Mean,0.0
MNIST,2,Translate,De-adversarial,Min,Mean,0.0
MNIST,2,Translate,De-adversarial,Min,Mean,0.0
CIFAR10,2,Rotate,Correct,Mean,Mean,0.133
CIFAR10,2,Rotate,Correct,Mean,Max,0.5
CIFAR10,2,Rotate,Correct,Mean,Min,0.0
CIFAR10,2,Rotate,Correct,Max,Mean,0.73
CIFAR10,2,Rotate,Correct,Max,Mean,1.0
CIFAR10,2,Rotate,Correct,Max,Mean,0.0
CIFAR10,2,Rotate,Correct,Min,Mean,0.0
CIFAR10,2,Rotate,Correct,Min,Mean,0.0
CIFAR10,2,Rotate,Correct,Min,Mean,0.0
CIFAR10,2,Rotate,Robust,Mean,Mean,0.2463
CIFAR10,2,Rotate,Robust,Mean,Max,0.766
CIFAR10,2,Rotate,Robust,Mean,Min,0.0
CIFAR10,2,Rotate,Robust,Max,Mean,0.79
CIFAR10,2,Rotate,Robust,Max,Mean,1.0
CIFAR10,2,Rotate,Robust,Max,Mean,0.0
CIFAR10,2,Rotate,Robust,Min,Mean,0.0
CIFAR10,2,Rotate,Robust,Min,Mean,0.0
CIFAR10,2,Rotate,Robust,Min,Mean,0.0
CIFAR10,2,Rotate,De-adversarial,Mean,Mean,0.1343
CIFAR10,2,Rotate,De-adversarial,Mean,Max,0.5
CIFAR10,2,Rotate,De-adversarial,Mean,Min,0.0
CIFAR10,2,Rotate,De-adversarial,Max,Mean,0.64
CIFAR10,2,Rotate,De-adversarial,Max,Mean,1.0
CIFAR10,2,Rotate,De-adversarial,Max,Mean,0.0
CIFAR10,2,Rotate,De-adversarial,Min,Mean,0.0
CIFAR10,2,Rotate,De-adversarial,Min,Mean,0.0
CIFAR10,2,Rotate,De-adversarial,Min,Mean,0.0
CIFAR10,2,Translate,Correct,Mean,Mean,0.2243
CIFAR10,2,Translate,Correct,Mean,Max,0.7826
CIFAR10,2,Translate,Correct,Mean,Min,0.0
CIFAR10,2,Translate,Correct,Max,Mean,0.54
CIFAR10,2,Translate,Correct,Max,Mean,1.0
CIFAR10,2,Translate,Correct,Max,Mean,0.0
CIFAR10,2,Translate,Correct,Min,Mean,0.0
CIFAR10,2,Translate,Correct,Min,Mean,0.0
CIFAR10,2,Translate,Correct,Min,Mean,0.0
CIFAR10,2,Translate,Robust,Mean,Mean,0.47652
CIFAR10,2,Translate,Robust,Mean,Max,1.0
CIFAR10,2,Translate,Robust,Mean,Min,0.0
CIFAR10,2,Translate,Robust,Max,Mean,0.7
CIFAR10,2,Translate,Robust,Max,Mean,1.0
CIFAR10,2,Translate,Robust,Max,Mean,0.0
CIFAR10,2,Translate,Robust,Min,Mean,0.02
CIFAR10,2,Translate,Robust,Min,Mean,1.0
CIFAR10,2,Translate,Robust,Min,Mean,0.0
CIFAR10,2,Translate,De-adversarial,Mean,Mean,0.2017
CIFAR10,2,Translate,De-adversarial,Mean,Max,0.7826
CIFAR10,2,Translate,De-adversarial,Mean,Min,0.0
CIFAR10,2,Translate,De-adversarial,Max,Mean,0.5
CIFAR10,2,Translate,De-adversarial,Max,Mean,1.0
CIFAR10,2,Translate,De-adversarial,Max,Mean,0.0
CIFAR10,2,Translate,De-adversarial,Min,Mean,0.0
CIFAR10,2,Translate,De-adversarial,Min,Mean,0.0
CIFAR10,2,Translate,De-adversarial,Min,Mean,0.0
