Run,Model,Attack Intensity,Accuracy,Confidence
2,AU,1.0,0.0,8.774771690368652
2,AU,2.0,0.0,10.446489334106445
2,AU,4.0,0.0,9.906686782836914
2,AU,8.0,0.0,9.571090698242188
2,AA,0.0,0.7099999785423279,2.19045352935791
2,AA,0.1,0.0,3.5615532398223877
2,AA,0.25,0.0,3.698946475982666
2,AA,0.5,0.0,3.770263910293579
2,AA,1.0,0.019999999552965164,3.5917961597442627
2,AA,2.0,0.0,3.7047202587127686
2,AA,4.0,0.009999999776482582,3.5813450813293457
2,AA,8.0,0.0,3.695927381515503
2,AN,0.0,0.6800000071525574,2.574431896209717
2,AN,0.1,0.0,6.274285316467285
2,AN,0.25,0.0,7.476273059844971
2,AN,0.5,0.0,6.938023090362549
2,AN,1.0,0.0,7.08720588684082
2,AN,2.0,0.0,8.064051628112793
2,AN,4.0,0.0,6.002530574798584
2,AN,8.0,0.0,6.538607120513916
3,UU,0.0,0.9199999570846558,7.500777244567871
3,UU,0.1,0.0,15.578669548034668
3,UU,0.25,0.0,19.92232894897461
3,UU,0.5,0.0,14.546365737915039
3,UU,1.0,0.0,17.584028244018555
3,UU,2.0,0.0,18.50862693786621
3,UU,4.0,0.0,15.522994995117188
3,UU,8.0,0.009999999776482582,13.37106704711914
3,UA,0.0,0.6699999570846558,2.6239125728607178
3,UA,0.1,0.09999999403953552,2.663965940475464
3,UA,0.25,0.09999999403953552,2.1237335205078125
3,UA,0.5,0.12999999523162842,2.3173344135284424
3,UA,1.0,0.11999999731779099,2.3593695163726807
3,UA,2.0,0.11999999731779099,2.167811870574951
3,UA,4.0,0.12999999523162842,2.3026323318481445
3,UA,8.0,0.10999999940395355,2.3629837036132812
3,UN,0.0,0.699999988079071,4.945042610168457
3,UN,0.1,0.03999999910593033,6.1465744972229
3,UN,0.25,0.03999999910593033,5.245297908782959
3,UN,0.5,0.03999999910593033,6.456708908081055
3,UN,1.0,0.029999999329447746,6.200718879699707
3,UN,2.0,0.019999999552965164,6.179009914398193
3,UN,4.0,0.019999999552965164,6.7839508056640625
3,UN,8.0,0.019999999552965164,6.679453372955322
3,AU,0.0,0.7599999904632568,3.513113260269165
3,AU,0.1,0.0,10.837525367736816
3,AU,0.25,0.0,11.648816108703613
